감정단어,V,A,D
염려하다,0.292,0.698,0.35
영광스럽다,0.959,0.673,0.827
영예롭다,0.963,0.412,0.83
온정,0.878,0.307,0.602
외롭다,0.25,0.226,0.238
우려하다,0.292,0.698,0.35
우수,0.958,0.62,0.907
우습다,0.918,0.61,0.566
우울하다,0.024,0.445,0.136
우쭐하다,0.906,0.7,0.873
울분,0.167,0.865,0.657
울적하다,0.188,0.26,0.237
울화,0.167,0.865,0.657
울화통,0.167,0.865,0.657
원망하다,0.115,0.64,0.309
원통하다,0.12,0.608,0.324
원한,0.115,0.647,0.414
위압감,0.08,0.673,0.615
위축감,0.333,0.358,0.153
위화감,0.153,0.719,0.272
유감,0.23,0.623,0.331
유쾌하다,0.939,0.31,0.673
의기소침하다,0.204,0.28,0.142
의기양양하다,0.906,0.7,0.873
의심,0.395,0.351,0.231
의혹,0.204,0.711,0.377
이뻐하다,0.898,0.559,0.696
자긍,0.729,0.634,0.848
자기혐오,0.35,0.62,0.407
자랑스럽다,0.906,0.7,0.873
자만심,0.143,0.75,0.62
자부하다,0.878,0.327,0.754
자신만만하다,0.765,0.324,0.723
자족하다,0.764,0.296,0.559
자책하다,0.103,0.673,0.377
재미있다,0.918,0.843,0.667
적의,0.122,0.775,0.465
적적하다,0.25,0.226,0.238
전전긍긍,0.281,0.875,0.434
절망하다,0.115,0.794,0.245
절박감,0.429,0.908,0.543
정감,0.898,0.559,0.696
정겹다,0.917,0.398,0.598
정답다,0.76,0.312,0.585
정욕,0.896,0.692,0.647
조마조마하다,0.289,0.46,0.231
조바심,0.409,0.689,0.364
좋다,0.938,0.368,0.534
좌절하다,0.08,0.651,0.255
죄송스럽다,0.479,0.461,0.571
죄스럽다,0.347,0.363,0.473
죄의식,0.208,0.567,0.206
죄책감,0.103,0.673,0.377
주눅들다,0.177,0.663,0.208
즐겁다,0.99,0.74,0.667
즐기다,0.959,0.725,0.75
증오하다,0.031,0.802,0.43
지겹다,0.153,0.167,0.196
지긋지긋하다,0.104,0.406,0.241
지루하다,0.194,0.12,0.185
진저리나다,0.327,0.5,0.352
질겁하다,0.04,0.885,0.368
질리다,0.094,0.73,0.429
질색하다,0.04,0.885,0.368
질투하다,0.24,0.704,0.427
짜증내다,0.094,0.765,0.286
짝사랑하다,0.271,0.676,0.582
찡하다,0.592,0.38,0.404
착잡하다,0.211,0.66,0.455
참담하다,0.061,0.849,0.604
창피하다,0.156,0.588,0.228
처량하다,0.062,0.461,0.188
처절하다,0.083,0.842,0.337
처참하다,0.071,0.857,0.398
체념하다,0.24,0.17,0.268
초조하다,0.281,0.875,0.434
충족감,0.833,0.528,0.683
측은하다,0.219,0.49,0.232
치떨리다,0.177,0.878,0.388
치욕스럽다,0.062,0.716,0.279
친애하다,0.896,0.491,0.652
침울하다,0.107,0.41,0.287
침통하다,0.049,0.422,0.163
켕기다,0.333,0.542,0.321
코웃음,0.133,0.755,0.345
쾌감,0.939,0.74,0.682
태평스럽다,0.867,0.108,0.569
토라지다,0.25,0.58,0.406
통쾌하다,0.918,0.735,0.644
통탄하다,0.198,0.398,0.352
패배감,0.104,0.582,0.145
편안하다,0.927,0.163,0.473
편하다,0.865,0.194,0.373
평안하다,0.867,0.108,0.569
평온하다,0.917,0.094,0.355
평화롭다,0.867,0.108,0.569
풀죽다,0.204,0.28,0.142
한,0.115,0.647,0.414
한맺히다,0.082,0.551,0.235
한스럽다,0.12,0.608,0.324
한탄하다,0.198,0.398,0.352
행복,1.0,0.735,0.772
향수,0.417,0.337,0.339
허망하다,0.122,0.332,0.158
허무하다,0.122,0.332,0.158
허전하다,0.188,0.183,0.081
허탈하다,0.123,0.423,0.202
혐오하다,0.083,0.8,0.492
호감,0.812,0.308,0.519
혼비백산하다,0.09,0.902,0.387
홀가분하다,0.688,0.438,0.362
화나다,0.122,0.83,0.604
환희,0.98,0.824,0.794
황공하다,0.133,0.865,0.464
황당하다,0.188,0.656,0.284
황송하다,0.958,0.353,0.56
황홀하다,0.875,0.769,0.742
회개,0.326,0.5,0.2
후련하다,0.896,0.314,0.391
후회하다,0.23,0.623,0.331
흐뭇하다,0.939,0.548,0.795
흠모하다,0.867,0.692,0.704
흡족하다,0.959,0.51,0.685
흥겹다,0.99,0.74,0.667
흥나다,0.908,0.931,0.709
흥미롭다,0.927,0.726,0.731
흥미진진하다,0.979,0.817,0.784
흥분,0.896,0.684,0.731
희,0.98,0.824,0.794
희열,0.796,0.922,0.655
희희낙락하다,0.958,0.58,0.728
신뢰,0.888,0.547,0.741
기대,0.698,0.539,0.711
사랑,1.0,0.519,0.673
복종,0.531,0.58,0.633
공격성,0.077,0.913,0.648
낙관,0.949,0.565,0.814
호기심,0.75,0.755,0.463
불신,0.265,0.582,0.407
냉소,0.104,0.78,0.454
희망,0.927,0.317,0.739
병적 감정,0.12,0.694,0.339
우세,0.542,0.775,0.839
 평온,0.9,0.122,0.557
 수용,0.833,0.287,0.755
 불안,0.385,0.72,0.454
 산만,0.402,0.557,0.39
 수심,0.54,0.22,0.529
 지루함,0.167,0.139,0.255
 짜증,0.167,0.718,0.342
 놀람,0.875,0.875,0.562
 슬픔,0.052,0.288,0.164
 혐오,0.052,0.775,0.317
 경멸,0.206,0.635,0.396
 존경,0.969,0.583,0.726
 극심한 공포,0.069,0.902,0.415
 깜짝 놀람,0.75,0.8,0.639
아주 슬픔,0.07,0.64,0.474
매우 혐오,0.083,0.796,0.368
 경계,0.49,0.615,0.724
 실망,0.085,0.551,0.367
관심,0.78,0.667,0.618
중립,0.5,0.5,0.5
